['01', '13', '26', '15', '33', '17', '13']
['12', '31', '20', '03', '07', '02', '16']
['24', '18', '05', '26', '10', '13', '01']
['16', '25', '21', '20', '10', '13', '05']
['24', '28', '19', '17', '08', '06', '05']
['17', '30', '31', '27', '22', '12', '02']
['15', '26', '29', '19', '02', '27', '02']
['02', '18', '05', '27', '26', '15', '04']
['14', '07', '06', '33', '11', '02', '08']
['17', '04', '29', '13', '28', '18', '06']
['33', '30', '26', '08', '27', '14', '01']
['06', '27', '18', '29', '20', '07', '09']
['19', '15', '26', '05', '29', '01', '13']
['14', '13', '29', '27', '20', '24', '02']
['31', '08', '25', '03', '05', '17', '01']
['11', '28', '31', '02', '13', '10', '01']
['28', '18', '20', '09', '13', '15', '15']
['13', '04', '19', '33', '11', '22', '11']
['18', '17', '13', '01', '07', '31', '15']
['28', '03', '09', '15', '19', '11', '16']
['17', '23', '20', '24', '22', '31', '01']
['23', '13', '06', '12', '15', '21', '15']
['01', '25', '31', '19', '08', '26', '01']
['14', '12', '09', '20', '06', '28', '10']
['10', '32', '12', '09', '29', '18', '14']
['19', '27', '04', '28', '18', '16', '04']
['06', '21', '20', '02', '15', '07', '15']
['24', '11', '23', '26', '32', '01', '15']
['33', '06', '21', '03', '02', '04', '05']
['04', '13', '05', '10', '30', '31', '14']
['16', '25', '19', '17', '03', '33', '07']
['28', '14', '18', '04', '13', '20', '08']
['16', '06', '11', '31', '19', '13', '02']
['32', '29', '22', '21', '24', '28', '14']
['21', '20', '07', '27', '10', '16', '11']
['24', '18', '20', '28', '22', '08', '10']
['01', '29', '30', '27', '04', '25', '07']
['29', '31', '15', '02', '33', '07', '15']
['15', '17', '22', '20', '03', '09', '06']
['23', '09', '05', '25', '06', '13', '08']
['04', '21', '24', '08', '23', '01', '11']
['33', '31', '09', '14', '07', '32', '13']
['32', '25', '24', '03', '23', '18', '09']
['19', '13', '08', '12', '14', '20', '05']
['10', '11', '04', '30', '32', '23', '14']
['11', '30', '27', '04', '08', '21', '01']
['17', '18', '12', '15', '27', '05', '04']
['17', '15', '09', '23', '01', '22', '16']
['17', '01', '04', '31', '05', '15', '09']
['27', '19', '17', '18', '20', '03', '16']
['29', '09', '13', '10', '24', '08', '02']
['01', '02', '26', '25', '30', '04', '10']
['29', '33', '15', '19', '07', '05', '15']
['29', '10', '26', '14', '15', '06', '12']
['14', '05', '15', '32', '18', '16', '12']
['29', '07', '04', '18', '15', '33', '01']
['28', '04', '33', '09', '27', '06', '02']
['29', '07', '19', '26', '13', '06', '08']
['29', '26', '07', '12', '15', '24', '06']
['13', '01', '05', '26', '29', '21', '15']
['14', '20', '11', '27', '30', '06', '09']
['23', '09', '18', '31', '28', '14', '02']
['31', '13', '17', '12', '06', '04', '16']
['09', '22', '31', '17', '06', '08', '11']
['23', '33', '16', '18', '20', '21', '05']
['01', '18', '29', '16', '33', '03', '06']
['18', '32', '24', '19', '16', '28', '01']
['18', '09', '06', '29', '33', '19', '06']
['23', '33', '06', '14', '31', '13', '01']
['15', '30', '33', '12', '20', '26', '16']
['01', '17', '14', '06', '11', '26', '15']
['02', '09', '28', '33', '04', '26', '03']
['08', '27', '21', '28', '12', '33', '11']
['18', '10', '14', '27', '33', '23', '15']
['32', '27', '31', '07', '24', '29', '15']
['05', '21', '17', '11', '33', '02', '01']
['14', '27', '08', '33', '05', '03', '08']
['02', '04', '25', '07', '26', '18', '10']
['07', '20', '31', '26', '05', '17', '14']
['27', '30', '08', '03', '14', '07', '09']
['02', '11', '25', '27', '24', '30', '14']
['18', '17', '19', '12', '28', '03', '04']
['08', '21', '29', '01', '23', '07', '06']
['25', '17', '20', '23', '27', '02', '08']
['30', '11', '05', '21', '22', '10', '13']
['29', '07', '05', '24', '22', '21', '14']
['16', '03', '14', '12', '31', '33', '12']
['15', '07', '10', '06', '02', '20', '05']
['13', '09', '32', '16', '12', '24', '04']
['20', '13', '01', '22', '32', '10', '14']
['03', '16', '26', '14', '31', '02', '02']
['08', '25', '19', '12', '13', '23', '15']
['32', '33', '31', '26', '17', '14', '10']
['22', '12', '19', '05', '25', '26', '05']
['14', '23', '10', '32', '11', '04', '07']
['32', '11', '26', '22', '10', '01', '07']
['26', '23', '12', '30', '24', '27', '05']
['08', '10', '26', '32', '03', '13', '08']
['20', '23', '05', '22', '11', '29', '09']
['32', '26', '14', '19', '15', '18', '09']
['15', '03', '10', '04', '24', '22', '02']
['06', '32', '25', '28', '19', '24', '04']
['07', '19', '10', '14', '24', '09', '15']
['24', '12', '19', '07', '17', '25', '02']
['15', '07', '17', '11', '01', '19', '06']
['24', '07', '26', '03', '31', '22', '14']
['32', '09', '14', '11', '30', '22', '01']
['21', '05', '25', '14', '20', '06', '08']
['17', '11', '07', '30', '16', '32', '16']
['09', '24', '06', '32', '29', '30', '07']
['10', '19', '31', '29', '20', '05', '14']
['06', '16', '27', '28', '31', '14', '07']
['27', '15', '13', '07', '06', '14', '04']
['18', '03', '10', '04', '07', '02', '15']
['08', '30', '29', '31', '07', '04', '01']
['25', '33', '15', '24', '06', '23', '15']
['12', '20', '32', '19', '21', '18', '15']
['04', '25', '17', '19', '28', '15', '16']
['07', '03', '09', '21', '20', '02', '13']
['25', '28', '23', '20', '22', '01', '16']
['06', '22', '31', '03', '15', '09', '02']
['16', '12', '31', '19', '10', '07', '16']
['30', '32', '05', '19', '24', '28', '14']
['05', '16', '02', '17', '30', '18', '06']
['12', '25', '02', '21', '23', '31', '08']
['21', '13', '06', '17', '20', '15', '03']
['24', '21', '20', '09', '14', '26', '04']
['32', '15', '10', '19', '05', '18', '05']
['12', '20', '17', '19', '10', '15', '08']
['10', '28', '11', '13', '27', '05', '09']
['09', '21', '07', '32', '22', '26', '03']
['10', '14', '26', '07', '16', '04', '09']
['26', '13', '15', '02', '05', '23', '07']
['29', '01', '09', '11', '20', '13', '09']
['20', '04', '07', '17', '24', '19', '16']
['14', '19', '23', '01', '30', '26', '10']
['26', '16', '05', '27', '10', '33', '01']
['14', '24', '12', '23', '27', '19', '01']
['14', '15', '32', '27', '11', '16', '09']
['10', '24', '14', '21', '03', '07', '01']
['02', '15', '09', '28', '19', '06', '16']
['21', '19', '31', '10', '03', '17', '04']
['02', '31', '01', '25', '19', '16', '08']
['01', '31', '19', '03', '27', '12', '10']
['06', '04', '14', '28', '20', '01', '08']
['08', '20', '18', '19', '24', '11', '01']
